"","V1","V2","V3","V4"
"1",0.336472236621213,0.336472236621213,0.336472236621213,0
"2",0.412109650826833,0.412109650826833,0.412109650826833,0
"3",5.49390237147503,4.77676232509705,5.8652152865279,0.7504
"4",2.28111854460739,1.56876689569111,3.48911187707643,0.792
"5",0.0237140650816662,0.000865170082528841,0.110384001799745,0.6704
"6",0.0765744057213966,0.0465652345217419,0.120452975798746,0.4727
"7",1.28266264288335,0.862026385798915,1.65453241281377,0.857
"8",0.718215779724077,0.391658695376456,1.03043121518868,0.8434
"9",-0.759094965798183,-1.32851841759722,-0.283016618312291,0.8597
"10",0,0,0,0
"11",0,0,0,0
"12",0,0,0,0
"13",0.0633185718171397,-0.313530684836182,0.427330565252955,0.8636
"14",0,0,0,0
"15",0,0,0,0
"16",-0.277605028928152,-0.530568623221592,-0.0281449672741242,0.7986
"17",0,0,0,0
"18",0,0,0,0
"19",-0.0166932412197327,-0.379685600682069,0.340130062591946,0.8074
"20",0.206345691127575,-0.0728341236126623,0.491462461389434,0.7536
"21",-0.442244628863897,-0.726000426143622,-0.156893067734426,0.6775
"22",-0.541973769762988,-1.03474741496382,-0.0970098691513984,0.8361
"23",1.00190261540835,0.576441568046639,1.43601659995306,0.6824
"24",0.446791655792846,0.0637977982905529,0.842029589571778,0.6513
"25",0,0,0,0
"26",0.170613954369417,0.0241045327896634,0.312357926680926,0.8432
"27",0,0,0,0
"28",0,0,0,0
"29",0.592149254893871,0.24528144681144,0.940754414350995,0.6353
"30",0,0,0,0
"31",0,0,0,0
